,Model,Accuracy,Number of parameters
0,C [16] D[256],0.9084718923198734,3223787
1,C [16] D[128],0.9276326207442597,1612523
2,"C [16] D[256, 256]",0.9193982581155978,3289579
3,"C [16] D[256, 128]",0.9201900237529691,3251179
4,"C [16] D[128, 128]",0.9168646080760094,1629035
5,C [32] D[256],0.9163103721298496,6436267
6,C [32] D[128],0.9155977830562153,3219371
7,"C [32] D[256, 256]",0.9193982581155978,6502059
8,"C [32] D[256, 128]",0.918289786223278,6463659
9,"C [32] D[128, 128]",0.9129057798891528,3235883
10,C [64] D[256],0.8965954077593032,12861227
11,C [64] D[128],0.9307996832937451,6433067
12,"C [64] D[256, 256]",0.9311163895486936,12927019
13,"C [64] D[256, 128]",0.9161520190023753,12888619
14,"C [64] D[128, 128]",0.9273950910530483,6449579
15,"C [16, 16] D[256]",0.9513064133016627,707067
16,"C [16, 16] D[128]",0.9596199524940617,355323
17,"C [16, 16] D[256, 256]",0.9650039588281869,772859
18,"C [16, 16] D[256, 128]",0.9607284243863816,734459
19,"C [16, 16] D[128, 128]",0.9651623119556612,371835
20,"C [16, 32] D[256]",0.9581947743467933,1401611
21,"C [16, 32] D[128]",0.9660332541567695,703755
22,"C [16, 32] D[256, 256]",0.9536817102137767,1467403
23,"C [16, 32] D[256, 128]",0.970387965162312,1429003
24,"C [16, 32] D[128, 128]",0.9682501979414093,720267
25,"C [16, 64] D[256]",0.9638163103721299,2790699
26,"C [16, 64] D[128]",0.9666666666666667,1400619
27,"C [16, 64] D[256, 256]",0.9737133808392716,2856491
28,"C [16, 64] D[256, 128]",0.9527315914489312,2818091
29,"C [16, 64] D[128, 128]",0.9647664291369754,1417131
30,"C [32, 32] D[256]",0.9536817102137767,1407435
31,"C [32, 32] D[128]",0.9649247822644498,709579
32,"C [32, 32] D[256, 256]",0.9647664291369754,1473227
33,"C [32, 32] D[256, 128]",0.9661916072842439,1434827
34,"C [32, 32] D[128, 128]",0.9670625494853523,726091
